City Name,Zone Name,Ward Name,Ward No.,Length of Roads (in km),Length of Tar Roads (in km),Length of Concrete Roads (in km),Length of Roads with footpaths on both sides (in km),Length of Roads with footpaths on one side (in km)
Jhansi,South,HANSARI GIRD FIRST,1,17.5,3,14.5,NA,NA
Jhansi,East,TAALPURA FIRST,2,10.5,1.1,9.4,NA,NA
Jhansi,East,BHATTA GAON,3,19.5,7.5,12,NA,NA
Jhansi,East,KHUSIPURA FIRST,4,8.6,0,8.6,NA,NA
Jhansi,South,ISHAYEE TOLA FIRST,5,14.9,5,9.9,NA,NA
Jhansi,South,NAINAGARH,6,8.725,0.825,7.9,NA,NA
Jhansi,South,KACHIYANA PULIYA NO 9,7,9.2,0.7,8.5,NA,NA
Jhansi,North,NAYI BASTI FIRST,8,10.8,0.8,10,NA,NA
Jhansi,South,HANSARI GIRD SECOND,9,15.6,2.1,13.5,NA,NA
Jhansi,South,NAINAGARH SOUTH FIRST,10,11.5,2,9.5,NA,NA
Jhansi,East,BAHAR SAIYER GATE,11,7,0,7,NA,NA
Jhansi,South,SCHOOLPURA ,12,6.7,0,6.7,NA,NA
Jhansi,East,KONCHA BANWAR,13,10.5,0,10.5,NA,NA
Jhansi,East,KHUSIPURA SECOND,14,11.5,2,9.5,NA,NA
Jhansi,South,GADHIYA GAON,15,15.5,2,13.5,NA,NA
Jhansi,West,MASIHAGANJ,16,9.7,0,9.7,NA,NA
Jhansi,West,NANDANPURA SECOND,17,12.35,1.85,10.5,NA,NA
Jhansi,East,TAALPURA SECOND,18,9.5,0,9.5,NA,NA
Jhansi,North,BANGLA GHAAT,19,8.6,0,8.6,NA,NA
Jhansi,North,GUDRI,20,7.5,0,7.5,NA,NA
Jhansi,North,SIMRADHA,21,26.5,4,22.5,NA,NA
Jhansi,South,BIJAULI,22,24.5,6.5,18,NA,NA
Jhansi,West,LAHARGIRD FIRST,23,21.5,11,10.5,NA,NA
Jhansi,East,SIMRAHA,24,14.5,0,14.5,NA,NA
Jhansi,South,BAGICHA PULIYA NO 9,25,8.5,0,8.5,NA,NA
Jhansi,West,ISHAEE TOLA SECOND,26,19.5,2,17.5,NA,NA
Jhansi,East,DADIYAPURA SECOND,27,14.5,2,12.5,NA,NA
Jhansi,South,HEERAPURA,28,5.9,0,5.9,NA,NA
Jhansi,South,NAINAGARH SOUTH SECOND,29,7.6,0,7.6,NA,NA
Jhansi,North,ALIGOLE FIRST,30,19.67,4.87,14.8,NA,NA
Jhansi,West,LAHARGIRD SECOND,31,22.02,2.72,19.3,NA,NA
Jhansi,East,PICHAUR,32,22.75,5.4,17.35,NA,NA
Jhansi,East,BAHAR ORCHAGATE SECOND,33,10.43,2.93,7.5,NA,NA
Jhansi,North,NAYI BASTI SECOND,34,11.2,0,11.2,NA,NA
Jhansi,West,NANDANPURA FIRST,35,8.5,0,8.5,NA,NA
Jhansi,West,PREMGANJ SECOND,36,10.87,1.37,9.5,NA,NA
Jhansi,North,BAHAR DATIYA GATE SECOND,37,8,0,8,NA,NA
Jhansi,North,ALIGOLE SECOND,38,8,1.5,6.5,NA,NA
Jhansi,North,BAHAR DATIYA GATE FIRST,39,22.6,3.1,19.5,NA,NA
Jhansi,West,AZADGANJ,40,12.77,3.77,9,NA,NA
Jhansi,West,NANDANPURA THIRD,41,23.35,9.35,14,NA,NA
Jhansi,North,SAGARGATE,42,7.5,0,7.5,NA,NA
Jhansi,West,NANAKGANJ,43,9,0,9,NA,NA
Jhansi,East,CIVIL LINES NORTH PART,44,10.6,1.6,9,NA,NA
Jhansi,North,CHANIYAPURA,45,7.5,0,7.5,NA,NA
Jhansi,West,PREMGANJ FIRST,46,10.95,1.45,9.5,NA,NA
Jhansi,North,TALAIYA,47,8.75,0.75,8,NA,NA
Jhansi,North,MEWATIPURA,48,8,0.5,7.5,NA,NA
Jhansi,West,CIVIL LINES WEST PART,49,10.22,2.22,8,NA,NA
Jhansi,East,DADIYAPURA FIRST,50,14.15,0.65,13.5,NA,NA
Jhansi,East,CIVIL LINES SOUTH PART 2,51,13.3,5.8,7.5,NA,NA
Jhansi,North,MUKARYANA,52,8.5,0,8.5,NA,NA
Jhansi,East,BAHAR KHANDERAO GATE,53,11.47,3.97,7.5,NA,NA
Jhansi,East,BAHAR ORCHA GATE FIRST,54,6.72,0.22,6.5,NA,NA
Jhansi,East,CIVIL LINES SOUTH PART 1,55,13.5,4,9.5,NA,NA
Jhansi,North,TORIYA NARSINGH RAO,56,10.75,0.25,10.5,NA,NA
Jhansi,East,C P MISSION COMPOUND,57,8.2,1.7,6.5,NA,NA
Jhansi,North,GUNSAI PURA,58,7.63,0.63,7,NA,NA
Jhansi,North,DAROO BHONDELA,59,9.5,1,8.5,NA,NA
Jhansi,North,LAXMANGANJ,60,6.5,0,6.5,NA,NA
