City Name,Zone Name,Ward Name,Ward No.,No. of intersections / junctions,Total number of operational signalized intersections
Jhansi,South,HANSARI GIRD FIRST,1,0,0
Jhansi,East,TAALPURA FIRST,2,0,0
Jhansi,East,BHATTA GAON,3,0,0
Jhansi,East,KHUSIPURA FIRST,4,0,0
Jhansi,South,ISHAYEE TOLA FIRST,5,0,0
Jhansi,South,NAINAGARH,6,0,0
Jhansi,South,KACHIYANA PULIYA NO 9,7,0,0
Jhansi,North,NAYI BASTI FIRST,8,0,0
Jhansi,South,HANSARI GIRD SECOND,9,0,0
Jhansi,South,NAINAGARH SOUTH FIRST,10,0,0
Jhansi,East,BAHAR SAIYER GATE,11,0,0
Jhansi,South,SCHOOLPURA ,12,0,0
Jhansi,East,KONCHA BANWAR,13,0,0
Jhansi,East,KHUSIPURA SECOND,14,0,0
Jhansi,South,GADHIYA GAON,15,0,0
Jhansi,West,MASIHAGANJ,16,0,0
Jhansi,West,NANDANPURA SECOND,17,0,0
Jhansi,East,TAALPURA SECOND,18,3,3
Jhansi,North,BANGLA GHAAT,19,0,0
Jhansi,North,GUDRI,20,0,0
Jhansi,North,SIMRADHA,21,0,0
Jhansi,South,BIJAULI,22,0,0
Jhansi,West,LAHARGIRD FIRST,23,0,0
Jhansi,East,SIMRAHA,24,0,0
Jhansi,South,BAGICHA PULIYA NO 9,25,0,0
Jhansi,West,ISHAEE TOLA SECOND,26,0,0
Jhansi,East,DADIYAPURA SECOND,27,0,0
Jhansi,South,HEERAPURA,28,0,0
Jhansi,South,NAINAGARH SOUTH SECOND,29,0,0
Jhansi,North,ALIGOLE FIRST,30,0,0
Jhansi,West,LAHARGIRD SECOND,31,0,0
Jhansi,East,PICHAUR,32,0,0
Jhansi,East,BAHAR ORCHAGATE SECOND,33,0,0
Jhansi,North,NAYI BASTI SECOND,34,0,0
Jhansi,West,NANDANPURA FIRST,35,0,0
Jhansi,West,PREMGANJ SECOND,36,0,0
Jhansi,North,BAHAR DATIYA GATE SECOND,37,0,0
Jhansi,North,ALIGOLE SECOND,38,0,0
Jhansi,North,BAHAR DATIYA GATE FIRST,39,0,0
Jhansi,West,AZADGANJ,40,0,0
Jhansi,West,NANDANPURA THIRD,41,0,0
Jhansi,North,SAGARGATE,42,0,0
Jhansi,West,NANAKGANJ,43,1,1
Jhansi,East,CIVIL LINES NORTH PART,44,2,2
Jhansi,North,CHANIYAPURA,45,0,0
Jhansi,West,PREMGANJ FIRST,46,0,0
Jhansi,North,TALAIYA,47,1,1
Jhansi,North,MEWATIPURA,48,0,0
Jhansi,West,CIVIL LINES WEST PART,49,1,1
Jhansi,East,DADIYAPURA FIRST,50,0,0
Jhansi,East,CIVIL LINES SOUTH PART 2,51,1,1
Jhansi,North,MUKARYANA,52,0,0
Jhansi,East,BAHAR KHANDERAO GATE,53,2,2
Jhansi,East,BAHAR ORCHA GATE FIRST,54,0,0
Jhansi,East,CIVIL LINES SOUTH PART 1,55,3,3
Jhansi,North,TORIYA NARSINGH RAO,56,0,0
Jhansi,East,C P MISSION COMPOUND,57,0,0
Jhansi,North,GUNSAI PURA,58,0,0
Jhansi,North,DAROO BHONDELA,59,0,0
Jhansi,North,LAXMANGANJ,60,0,0
